PRN,GPS_WEEK,TOC,SAT_POS_X_M,SAT_POS_Y_M,SAT_POS_Z_M,SAT_VEL_X_MPS,SAT_VEL_Y_MPS,SAT_VEL_Z_MPS,REL_CLK_CORR,SAT_CLK_CORR,HEALTH
10,1658,417088,9606313.23070863,-22800562.0198447,8887319.88834406,165.565863746097,1208.11400846197,2886.52392894339,-2.00377288211349,-5016.69547839217,0
10,1658,417089,9606478.80484375,-22799353.7284245,8890206.31475402,165.582413863985,1208.46882883264,2886.32887925825,-2.00274171870214,-5016.69578513428,0
10,1658,417090,9606644.39555332,-22798145.0821949,8893092.54608248,165.599012707165,1208.82362733656,2886.13376598936,-2.00171051135077,-5016.69609187639,0
10,1658,417091,9606810.00288628,-22796936.0811776,8895978.58226589,165.615660272298,1209.17840396034,2885.93858914098,-2.00067926008194,-5016.69639861849,0
10,1658,417092,9606975.62689099,-22795726.7253947,8898864.42324066,165.632356556062,1209.53315869055,2885.74334871736,-1.99964796491821,-5016.6967053606,0
10,1658,417093,9607141.26761635,-22794517.014868,8901750.06894322,165.649101555113,1209.88789151381,2885.54804472275,-1.99861662588216,-5016.69701210271,0
10,1658,417094,9607306.92511122,-22793306.9496194,8904635.51931,165.665895266101,1210.24260241668,2885.35267716141,-1.99758524299636,-5016.69731884482,0
10,1658,417095,9607472.599424,-22792096.529671,8907520.77427745,165.682737685697,1210.59729138579,2885.1572460376,-1.99655381628337,-5016.69762558693,0
10,1658,417096,9607638.2906037,-22790885.7550445,8910405.83378197,165.69962881054,1210.9519584077,2884.96175135558,-1.99552234576577,-5016.69793232904,0
10,1658,417097,9607803.99869873,-22789674.6257619,8913290.69776005,165.716568637295,1211.30660346904,2884.76619311962,-1.99449083146614,-5016.69823907115,0
10,1658,417098,9607969.72375795,-22788463.1418454,8916175.36614814,165.733557162602,1211.66122655639,2884.57057133396,-1.99345927340704,-5016.69854581325,0
10,1658,417099,9608135.46583018,-22787251.3033166,8919059.83888263,165.7505943831,1212.01582765634,2884.37488600288,-1.99242767161107,-5016.69885255536,0
10,1658,417100,9608301.22496383,-22786039.1101978,8921944.11590005,165.767680295445,1212.37040675551,2884.17913713065,-1.99139602610077,-5016.69915929747,0
10,1658,417101,9608467.00120771,-22784826.562511,8924828.1971368,165.784814896271,1212.72496384048,2883.98332472153,-1.99036433689876,-5016.69946603958,0
10,1658,417102,9608632.79461072,-22783613.660278,8927712.08252939,165.801998182204,1213.07949889786,2883.78744877979,-1.98933260402759,-5016.69977278169,0
10,1658,417103,9608798.6052212,-22782400.403521,8930595.77201429,165.819230149895,1213.43401191426,2883.5915093097,-1.98830082750984,-5016.7000795238,0
10,1658,417104,9608964.43308798,-22781186.792262,8933479.26552795,165.836510795968,1213.78850287626,2883.39550631553,-1.98726900736811,-5016.70038626591,0
10,1658,417105,9609130.2782599,-22779972.8265231,8936362.56300684,165.853840117044,1214.14297177049,2883.19943980156,-1.98623714362497,-5016.70069300802,0
10,1658,417106,9609296.14078532,-22778758.5063263,8939245.66438747,165.871218109762,1214.49741858353,2883.00330977206,-1.985205236303,-5016.70099975012,0
10,1658,417107,9609462.02071305,-22777543.8316938,8942128.56960629,165.888644770742,1214.851843302,2882.80711623131,-1.9841732854248,-5016.70130649223,0
10,1658,417108,9609627.91809197,-22776328.8026475,8945011.27859985,165.90612009659,1215.20624591251,2882.61085918359,-1.98314129101293,-5016.70161323434,0
10,1658,417109,9609793.83297037,-22775113.4192098,8947893.79130461,165.923644083943,1215.56062640165,2882.41453863317,-1.98210925309,-5016.70191997645,0
10,1658,417110,9609959.76539724,-22773897.6814025,8950776.10765705,165.941216729402,1215.91498475604,2882.21815458435,-1.98107717167858,-5016.70222671856,0
10,1658,417111,9610125.71542093,-22772681.5892481,8953658.2275937,165.958838029591,1216.26932096228,2882.02170704139,-1.98004504680127,-5016.70253346067,0
10,1658,417112,9610291.68309024,-22771465.1427685,8956540.15105107,165.976507981114,1216.62363500699,2881.82519600859,-1.97901287848065,-5016.70284020278,0
10,1658,417113,9610457.66845399,-22770248.3419859,8959421.87796565,165.994226580569,1216.97792687677,2881.62862149024,-1.97798066673933,-5016.70314694489,0
10,1658,417114,9610623.67156051,-22769031.1869226,8962303.40827398,166.011993824574,1217.33219655824,2881.43198349061,-1.97694841159987,-5016.70345368699,0
10,1658,417115,9610789.69245858,-22767813.6776007,8965184.74191258,166.029809709723,1217.68644403801,2881.235282014,-1.97591611308489,-5016.7037604291,0
10,1658,417116,9610955.73119701,-22766595.8140424,8968065.87881794,166.047674232608,1218.04066930268,2881.0385170647,-1.97488377121698,-5016.70406717121,0
10,1658,417117,9611121.78782413,-22765377.59627,8970946.81892663,166.06558738984,1218.39487233888,2880.841688647,-1.97385138601872,-5016.70437391332,0
10,1658,417118,9611287.86238888,-22764159.0243056,8973827.56217517,166.083549177992,1218.74905313322,2880.6447967652,-1.97281895751271,-5016.70468065543,0
10,1658,417119,9611453.95493958,-22762940.0981716,8976708.10850011,166.101559593674,1219.10321167232,2880.44784142359,-1.97178648572155,-5016.70498739754,0
10,1658,417120,9611620.06552501,-22761720.8178902,8979588.45783798,166.119618633466,1219.45734794278,2880.25082262647,-1.97075397066784,-5016.70529413965,0
10,1658,417121,9611786.19419394,-22760501.1834836,8982468.61012531,166.137726293941,1219.81146193123,2880.05374037813,-1.96972141237418,-5016.70560088176,0
10,1658,417122,9611952.34099469,-22759281.1949742,8985348.56529868,166.155882571699,1220.1655536243,2879.85659468288,-1.96868881086316,-5016.70590762386,0
10,1658,417123,9612118.50597602,-22758060.8523843,8988228.32329463,166.174087463313,1220.51962300858,2879.65938554501,-1.96765616615739,-5016.70621436597,0
10,1658,417124,9612284.68918671,-22756840.1557361,8991107.88404972,166.192340965348,1220.87367007071,2879.46211296884,-1.96662347827947,-5016.70652110808,0
10,1658,417125,9612450.89067504,-22755619.1050521,8993987.24750052,166.210643074394,1221.22769479731,2879.26477695866,-1.965590747252,-5016.70682785019,0
10,1658,417126,9612617.11048979,-22754397.7003545,8996866.41358361,166.228993787015,1221.581697175,2879.06737751878,-1.96455797309758,-5016.7071345923,0
10,1658,417127,9612783.3486797,-22753175.9416656,8999745.38223551,166.24739309977,1221.93567719039,2878.86991465351,-1.96352515583884,-5016.70744133441,0
10,1658,417128,9612949.60529307,-22751953.829008,9002624.15339287,166.265841009242,1222.28963483012,2878.67238836716,-1.96249229549835,-5016.70774807652,0
10,1658,417129,9613115.88037864,-22750731.3624039,9005502.7269922,166.284337511984,1222.64357008081,2878.47479866403,-1.96145939209874,-5016.70805481862,0
10,1658,417130,9613282.17398517,-22749508.5418757,9008381.10297015,166.302882604547,1222.99748292908,2878.27714554845,-1.96042644566261,-5016.70836156073,0
10,1658,417131,9613448.48616094,-22748285.367446,9011259.28126328,166.321476283508,1223.35137336156,2878.07942902472,-1.95939345621256,-5016.70866830284,0
10,1658,417132,9613614.81695484,-22747061.8391369,9014137.26180818,166.340118545401,1223.70524136488,2877.88164909717,-1.95836042377122,-5016.70897504495,0
10,1658,417133,9613781.1664151,-22745837.9569712,9017015.04454143,166.358809386796,1224.05908692566,2877.6838057701,-1.9573273483612,-5016.70928178706,0
10,1658,417134,9613947.53459052,-22744613.7209711,9019892.62939968,166.377548804234,1224.41291003053,2877.48589904783,-1.9562942300051,-5016.70958852917,0
10,1658,417135,9614113.92152979,-22743389.1311591,9022770.0163195,166.39633679425,1224.76671066613,2877.28792893469,-1.95526106872553,-5016.70989527128,0
10,1658,417136,9614280.32728118,-22742164.1875577,9025647.20523752,166.415173353408,1225.12048881908,2877.089895435,-1.95422786454512,-5016.71020201339,0
10,1658,417137,9614446.75189342,-22740938.8901894,9028524.19609035,166.434058478237,1225.47424447602,2876.89179855308,-1.95319461748647,-5016.71050875549,0
10,1658,417138,9614613.19541522,-22739713.2390767,9031400.9888146,166.452992165269,1225.82797762357,2876.69363829325,-1.9521613275722,-5016.7108154976,0
10,1658,417139,9614779.65789482,-22738487.2342421,9034277.58334692,166.471974411053,1226.18168824837,2876.49541465984,-1.95112799482494,-5016.71112223971,0
10,1658,417140,9614946.13938112,-22737260.8757081,9037153.97962392,166.491005212108,1226.53537633706,2876.29712765718,-1.95009461926729,-5016.71142898182,0
10,1658,417141,9615112.63992232,-22736034.1634974,9040030.1775822,166.510084564978,1226.88904187627,2876.0987772896,-1.94906120092189,-5016.71173572393,0
10,1658,417142,9615279.15956715,-22734807.0976324,9042906.17715847,166.529212466182,1227.24268485263,2875.90036356143,-1.94802773981134,-5016.71204246604,0
10,1658,417143,9615445.69836433,-22733579.6781357,9045781.97828933,166.548388912236,1227.59630525278,2875.701886477,-1.94699423595826,-5016.71234920815,0
