PRN,GPS_WEEK,TOC,SAT_POS_X_M,SAT_POS_Y_M,SAT_POS_Z_M,SAT_VEL_X_MPS,SAT_VEL_Y_MPS,SAT_VEL_Z_MPS,REL_CLK_CORR,SAT_CLK_CORR,HEALTH
12,1658,417088,-12347221.2474004,-11666199.8071552,20470453.3679977,427.800679482164,-2553.82164188057,-1181.04898444721,2.21973705817039,8907.88790365256,0
12,1658,417089,-12346793.5350623,-11668753.5674944,20469272.1022656,427.623998666451,-2553.69902538118,-1181.48247576709,2.2195835493666,8907.88861938415,0
12,1658,417090,-12346365.9993996,-11671307.2051841,20468090.4030549,427.447328596063,-2553.5763429674,-1181.91594146607,2.21942999355705,8907.88933511573,0
12,1658,417091,-12345938.6404016,-11673860.7201585,20466908.2703914,427.270669283467,-2553.45359464288,-1182.34938153509,2.21927639074507,8907.89005084732,0
12,1658,417092,-12345511.4580576,-11676414.1123516,20465725.7043006,427.094020741139,-2553.33078041124,-1182.78279596506,2.21912274093397,8907.89076657891,0
12,1658,417093,-12345084.4523566,-11678967.3816975,20464542.7048082,426.917382981527,-2553.20790027613,-1183.21618474694,2.21896904412708,8907.8914823105,0
12,1658,417094,-12344657.6232881,-11681520.5281303,20463359.2719398,426.740756017107,-2553.0849542412,-1183.64954787166,2.21881530032772,8907.89219804208,0
12,1658,417095,-12344230.9708411,-11684073.5515841,20462175.4057212,426.564139860342,-2552.96194231009,-1184.08288533016,2.21866150953921,8907.89291377367,0
12,1658,417096,-12343804.4950049,-11686626.4519931,20460991.1061779,426.387534523697,-2552.83886448645,-1184.51619711339,2.21850767176487,8907.89362950526,0
12,1658,417097,-12343378.1957685,-11689179.2292913,20459806.3733357,426.210940019644,-2552.71572077394,-1184.94948321228,2.21835378700803,8907.89434523684,0
12,1658,417098,-12342952.0731213,-11691731.8834129,20458621.2072202,426.034356360629,-2552.59251117622,-1185.38274361778,2.218199855272,8907.89506096843,0
12,1658,417099,-12342526.1270523,-11694284.4142919,20457435.6078572,425.857783559121,-2552.46923569693,-1185.81597832082,2.21804587656013,8907.89577670002,0
12,1658,417100,-12342100.3575507,-11696836.8218624,20456249.5752723,425.681221627582,-2552.34589433975,-1186.24918731236,2.21789185087573,8907.8964924316,0
12,1658,417101,-12341674.7646055,-11699389.1060588,20455063.1094913,425.504670578482,-2552.22248710833,-1186.68237058332,2.21773777822213,8907.89720816319,0
12,1658,417102,-12341249.348206,-11701941.2668149,20453876.2105399,425.328130424262,-2552.09901400635,-1187.11552812466,2.21758365860267,8907.89792389478,0
12,1658,417103,-12340824.1083411,-11704493.304065,20452688.8784438,425.15160117739,-2551.97547503748,-1187.54865992732,2.21742949202066,8907.89863962636,0
12,1658,417104,-12340399.0450001,-11707045.2177431,20451501.1132288,424.975082850325,-2551.85187020538,-1187.98176598225,2.21727527847945,8907.89935535795,0
12,1658,417105,-12339974.1581719,-11709597.0077836,20450312.9149206,424.798575455524,-2551.72819951374,-1188.41484628038,2.21712101798237,8907.90007108954,0
12,1658,417106,-12339549.4478456,-11712148.6741204,20449124.283545,424.622079005454,-2551.60446296623,-1188.84790081268,2.21696671053274,8907.90078682113,0
12,1658,417107,-12339124.9140103,-11714700.2166877,20447935.2191277,424.445593512552,-2551.48066056654,-1189.28092957007,2.21681235613391,8907.90150255271,0
12,1658,417108,-12338700.556655,-11717251.6354197,20446745.7216946,424.269118989283,-2551.35679231834,-1189.71393254352,2.2166579547892,8907.9022182843,0
12,1658,417109,-12338276.3757688,-11719802.9302505,20445555.7912714,424.092655448101,-2551.23285822533,-1190.14690972396,2.21650350650195,8907.90293401589,0
12,1658,417110,-12337852.3713405,-11722354.1011144,20444365.427884,423.916202901471,-2551.10885829119,-1190.57986110235,2.21634901127551,8907.90364974747,0
12,1658,417111,-12337428.5433594,-11724905.1479454,20443174.631558,423.739761361826,-2550.98479251962,-1191.01278666963,2.2161944691132,8907.90436547906,0
12,1658,417112,-12337004.8918142,-11727456.0706776,20441983.4023194,423.563330841628,-2550.86066091431,-1191.44568641676,2.21603988001837,8907.90508121065,0
12,1658,417113,-12336581.4166941,-11730006.8692454,20440791.740194,423.38691135333,-2550.73646347897,-1191.87856033469,2.21588524399435,8907.90579694224,0
12,1658,417114,-12336158.117988,-11732557.5435828,20439599.6452075,423.210502909382,-2550.61220021729,-1192.31140841436,2.2157305610445,8907.90651267382,0
12,1658,417115,-12335734.9956847,-11735108.0936241,20438407.1173859,423.034105522245,-2550.48787113298,-1192.74423064672,2.21557583117214,8907.90722840541,0
12,1658,417116,-12335312.0497733,-11737658.5193033,20437214.156755,422.857719204348,-2550.36347622974,-1193.17702702274,2.21542105438062,8907.907944137,0
12,1658,417117,-12334889.2802427,-11740208.8205547,20436020.7633407,422.681343968151,-2550.23901551129,-1193.60979753335,2.21526623067329,8907.90865986858,0
12,1658,417118,-12334466.6870818,-11742758.9973125,20434826.9371688,422.504979826102,-2550.11448898133,-1194.04254216952,2.21511136005349,8907.90937560017,0
12,1658,417119,-12334044.2702795,-11745309.0495109,20433632.6782652,422.328626790648,-2549.98989664358,-1194.4752609222,2.21495644252456,8907.91009133176,0
12,1658,417120,-12333622.0298246,-11747858.9770841,20432437.9866558,422.152284874244,-2549.86523850176,-1194.90795378233,2.21480147808986,8907.91080706334,0
12,1658,417121,-12333199.9657061,-11750408.7799661,20431242.8623664,421.975954089319,-2549.7405145596,-1195.34062074089,2.21464646675272,8907.91152279493,0
12,1658,417122,-12332778.0779128,-11752958.4580914,20430047.3054231,421.799634448327,-2549.61572482081,-1195.77326178882,2.21449140851651,8907.91223852652,0
12,1658,417123,-12332356.3664336,-11755508.011394,20428851.3158517,421.623325963714,-2549.49086928912,-1196.20587691707,2.21433630338457,8907.9129542581,0
12,1658,417124,-12331934.8312572,-11758057.4398082,20427654.8936781,421.44702864793,-2549.36594796826,-1196.63846611661,2.21418115136024,8907.91366998969,0
12,1658,417125,-12331513.4723726,-11760606.7432682,20426458.0389283,421.270742513402,-2549.24096086196,-1197.07102937839,2.21402595244688,8907.91438572128,0
12,1658,417126,-12331092.2897686,-11763155.9217082,20425260.7516282,421.094467572582,-2549.11590797397,-1197.50356669337,2.21387070664785,8907.91510145287,0
12,1658,417127,-12330671.2834339,-11765704.9750624,20424063.0318037,420.91820383791,-2548.990789308,-1197.93607805251,2.2137154139665,8907.91581718445,0
12,1658,417128,-12330250.4533573,-11768253.903265,20422864.8794809,420.741951321827,-2548.86560486782,-1198.36856344676,2.21356007440617,8907.91653291604,0
12,1658,417129,-12329829.7995275,-11770802.7062504,20421666.2946857,420.565710036782,-2548.74035465715,-1198.8010228671,2.21340468797024,8907.91724864763,0
12,1658,417130,-12329409.3219335,-11773351.3839526,20420467.277444,420.389479995198,-2548.61503867976,-1199.23345630446,2.21324925466204,8907.91796437921,0
12,1658,417131,-12328989.0205639,-11775899.9363059,20419267.8277819,420.213261209521,-2548.48965693938,-1199.66586374983,2.21309377448495,8907.9186801108,0
12,1658,417132,-12328568.8954075,-11778448.3632447,20418067.9457253,420.03705369219,-2548.36420943976,-1200.09824519415,2.21293824744232,8907.91939584239,0
