PRN,GPS_WEEK,TOC,SAT_POS_X_M,SAT_POS_Y_M,SAT_POS_Z_M,SAT_VEL_X_MPS,SAT_VEL_Y_MPS,SAT_VEL_Z_MPS,REL_CLK_CORR,SAT_CLK_CORR,HEALTH
2,1658,417088,-9196037.26472084,-20178608.1527995,15045463.8798875,1655.16234541562,924.798693301717,2213.79624974055,-3.82214871538574,108445.023801271,0
2,1658,417089,-9194381.96415435,-20177683.3194877,15047677.520287,1655.43878325298,924.867921532035,2213.48453998279,-3.82303834196374,108445.024346591,0
2,1658,417090,-9192726.38715755,-20176758.4169744,15049890.8489535,1655.71520614683,924.937096194185,2213.1727836346,-3.82392788934743,108445.02489191,0
2,1658,417091,-9191070.53374535,-20175833.4453132,15052103.8658402,1655.99161408504,925.006217289434,2212.86098070206,-3.82481735751817,108445.025437229,0
2,1658,417092,-9189414.4039326,-20174908.4045578,15054316.5709008,1656.2680070555,925.075284819054,2212.54913119124,-3.82570674645736,108445.025982548,0
2,1658,417093,-9187757.99773438,-20173983.2947615,15056528.9640886,1656.54438504606,925.144298784303,2212.23723510818,-3.82659605614639,108445.026527868,0
2,1658,417094,-9186101.31516574,-20173058.1159781,15058741.045357,1656.82074804464,925.213259186445,2211.92529245898,-3.82748528656662,108445.027073187,0
2,1658,417095,-9184444.35624161,-20172132.8682611,15060952.8146595,1657.09709603909,925.282166026759,2211.61330324969,-3.82837443769947,108445.027618506,0
2,1658,417096,-9182787.12097689,-20171207.551664,15063164.2719495,1657.3734290173,925.351019306524,2211.30126748639,-3.82926350952632,108445.028163826,0
2,1658,417097,-9181129.6093868,-20170282.1662404,15065375.4171804,1657.64974696715,925.419819027004,2210.98918517515,-3.83015250202855,108445.028709145,0
2,1658,417098,-9179471.8214862,-20169356.7120439,15067586.2503058,1657.92604987651,925.488565189492,2210.67705632203,-3.83104141518757,108445.029254464,0
2,1658,417099,-9177813.75729027,-20168431.189128,15069796.7712791,1658.20233773328,925.557257795259,2210.36488093312,-3.83193024898478,108445.029799784,0
2,1658,417100,-9176155.41681396,-20167505.5975462,15072006.9800537,1658.47861052533,925.625896845597,2210.05265901449,-3.83281900340156,108445.030345103,0
2,1658,417101,-9174496.80007247,-20166579.9373522,15074216.8765831,1658.75486824054,925.694482341784,2209.74039057221,-3.83370767841931,108445.030890422,0
2,1658,417102,-9172837.90708075,-20165654.2085995,15076426.4608208,1659.03111086679,925.763014285119,2209.42807561236,-3.83459627401944,108445.031435741,0
2,1658,417103,-9171178.73785401,-20164728.4113416,15078635.7327203,1659.30733839197,925.831492676884,2209.11571414101,-3.83548479018335,108445.031981061,0
2,1658,417104,-9169519.29240723,-20163802.5456321,15080844.6922351,1659.58355080395,925.899917518386,2208.80330616425,-3.83637322689243,108445.03252638,0
2,1658,417105,-9167859.57075566,-20162876.6115245,15083053.3393186,1659.85974809064,925.968288810911,2208.49085168815,-3.83726158412811,108445.033071699,0
2,1658,417106,-9166199.57291432,-20161950.6090724,15085261.6739244,1660.13593023988,926.036606555766,2208.1783507188,-3.83814986187177,108445.033617019,0
2,1658,417107,-9164539.29889846,-20161024.5383293,15087469.696006,1660.41209723959,926.104870754244,2207.86580326227,-3.83903806010483,108445.034162338,0
2,1658,417108,-9162878.74872311,-20160098.3993488,15089677.405517,1660.68824907764,926.173081407662,2207.55320932464,-3.8399261788087,108445.034707657,0
2,1658,417109,-9161217.92240356,-20159172.1921844,15091884.8024107,1660.96438574191,926.241238517316,2207.240568912,-3.84081421796479,108445.035252977,0
2,1658,417110,-9159556.81995488,-20158245.9168897,15094091.8866408,1661.24050722029,926.309342084525,2206.92788203043,-3.84170217755451,108445.035798296,0
2,1658,417111,-9157895.4413924,-20157319.5735182,15096298.6581608,1661.51661350067,926.377392110589,2206.61514868602,-3.84259005755927,108445.036343615,0
2,1658,417112,-9156233.7867312,-20156393.1621234,15098505.1169242,1661.79270457091,926.445388596836,2206.30236888485,-3.84347785796048,108445.036888935,0
2,1658,417113,-9154571.85598658,-20155466.6827589,15100711.2628845,1662.06878041893,926.513331544572,2205.98954263301,-3.84436557873958,108445.037434254,0
2,1658,417114,-9152909.64917365,-20154540.1354782,15102917.0959954,1662.34484103259,926.58122095513,2205.67666993659,-3.84525321987796,108445.037979573,0
2,1658,417115,-9151247.16630782,-20153613.5203349,15105122.6162104,1662.62088639978,926.649056829816,2205.36375080167,-3.84614078135706,108445.038524892,0
2,1658,417116,-9149584.40740415,-20152686.8373825,15107327.8234831,1662.89691650839,926.716839169971,2205.05078523434,-3.84702826315829,108445.039070212,0
