PRN,GPS_WEEK,TOC,SAT_POS_X_M,SAT_POS_Y_M,SAT_POS_Z_M,SAT_VEL_X_MPS,SAT_VEL_Y_MPS,SAT_VEL_Z_MPS,REL_CLK_CORR,SAT_CLK_CORR,HEALTH
4,1658,417088,5865413.32968582,-14815200.0655516,20982523.8182378,2233.46139992273,1573.18780605797,514.809235534107,3.97454563885926,79859.6345319555,0
4,1658,417089,5867646.85748715,-14813626.9185967,20983038.3988205,2233.59419474131,1573.10609581856,514.351928504917,3.97535775669421,79859.6379402012,0
4,1658,417090,5869880.51805916,-14812053.8533751,20983552.5220912,2233.72694117756,1573.02433946756,513.894611448544,3.97616978788362,79859.6413484469,0
4,1658,417091,5872114.31135336,-14810480.869933,20984066.1880399,2233.8596392229,1572.94253701336,513.43728437524,3.97698173241002,79859.6447566925,0
4,1658,417092,5874348.23732146,-14808907.9683163,20984579.3966565,2233.99228886871,1572.86068846439,512.979947295263,3.97779359025593,79859.6481649381,0
4,1658,417093,5876582.29591494,-14807335.1485712,20985092.1479309,2234.12489010642,1572.77879382907,512.522600218867,3.97860536140389,79859.6515731838,0
4,1658,417094,5878816.48708546,-14805762.4107439,20985604.4418534,2234.25744292744,1572.69685311582,512.065243156308,3.97941704583641,79859.6549814295,0
4,1658,417095,5881050.81078463,-14804189.7548802,20986116.2784137,2234.38994732317,1572.61486633309,511.607876117843,3.98022864353604,79859.6583896751,0
4,1658,417096,5883285.26696393,-14802617.1810264,20986627.6576021,2234.52240328504,1572.53283348928,511.150499113726,3.98104015448531,79859.6617979208,0
4,1658,417097,5885519.85557504,-14801044.6892284,20987138.5794084,2234.65481080446,1572.45075459284,510.693112154215,3.98185157866676,79859.6652061664,0
4,1658,417098,5887754.57656938,-14799472.2795324,20987649.0438229,2234.78716987285,1572.36862965218,510.235715249565,3.98266291606292,79859.6686144121,0
4,1658,417099,5889989.42989861,-14797899.9519843,20988159.0508354,2234.91948048164,1572.28645867576,509.778308410033,3.98347416665633,79859.6720226577,0
4,1658,417100,5892224.41551417,-14796327.7066302,20988668.6004362,2235.05174262225,1572.204241672,509.320891645874,3.98428533042954,79859.6754309034,0
4,1658,417101,5894459.53336768,-14794755.5435161,20989177.6926152,2235.1839562861,1572.12197864935,508.863464967349,3.9850964073651,79859.678839149,0
4,1658,417102,5896694.78341056,-14793183.4626881,20989686.3273626,2235.31612146462,1572.03966961624,508.406028384709,3.98590739744554,79859.6822473947,0
4,1658,417103,5898930.16559442,-14791611.464192,20990194.5046685,2235.44823814925,1571.95731458112,507.948581908215,3.98671830065343,79859.6856556403,0
4,1658,417104,5901165.67987066,-14790039.5480741,20990702.2245229,2235.58030633141,1571.87491355243,507.491125548124,3.9875291169713,79859.689063886,0
4,1658,417105,5903401.32619084,-14788467.7143801,20991209.4869161,2235.71232600255,1571.79246653862,507.033659314689,3.98833984638171,79859.6924721316,0
4,1658,417106,5905637.10450648,-14786895.9631562,20991716.2918381,2235.84429715409,1571.70997354815,506.576183218172,3.98915048886722,79859.6958803773,0
4,1658,417107,5907873.01476895,-14785324.2944482,20992222.6392791,2235.97621977749,1571.62743458945,506.118697268828,3.98996104441039,79859.6992886229,0
4,1658,417108,5910109.05692983,-14783752.7083021,20992728.5292292,2236.10809386416,1571.544849671,505.661201476914,3.99077151299376,79859.7026968686,0
4,1658,417109,5912345.23094048,-14782181.204764,20993233.9616785,2236.23991940557,1571.46221880122,505.20369585269,3.99158189459991,79859.7061051142,0
4,1658,417110,5914581.53675244,-14780609.7838797,20993738.9366174,2236.37169639315,1571.3795419886,504.746180406412,3.9923921892114,79859.7095133599,0
4,1658,417111,5916817.97431705,-14779038.4456952,20994243.4540359,2236.50342481836,1571.29681924158,504.288655148338,3.99320239681079,79859.7129216055,0
