PRN,GPS_WEEK,TOC,SAT_POS_X_M,SAT_POS_Y_M,SAT_POS_Z_M,SAT_VEL_X_MPS,SAT_VEL_Y_MPS,SAT_VEL_Z_MPS,REL_CLK_CORR,SAT_CLK_CORR,HEALTH
23,1658,417088,21972842.4126787,2207750.70231665,15042278.4693362,-1678.23674814645,888.763900373428,2289.18663546431,-3.18379614376363,79831.5745820404,0
23,1658,417089,21971164.069625,2208639.57140577,15044567.4987908,-1678.44934899307,888.974279156694,2288.87226393809,-3.18439165351486,79831.5736277316,0
23,1658,417090,21969485.5139985,2209528.65088219,15046856.2138496,-1678.6618939162,889.184675004482,2288.55784396157,-3.18498709672489,79831.5726734228,0
23,1658,417091,21967806.745855,2210417.94076308,15049144.6144642,-1678.87438291008,889.395087905261,2288.24337554101,-3.18558247338114,79831.571719114,0
23,1658,417092,21966127.7652505,2211307.44106531,15051432.7005862,-1679.08681596896,889.605517847516,2287.92885868267,-3.18617778347104,79831.5707648052,0
23,1658,417093,21964448.5722409,2212197.151806,15053720.4721671,-1679.29919308707,889.815964819716,2287.61429339281,-3.186773026982,79831.5698104964,0
23,1658,417094,21962769.1668822,2213087.07300216,15056007.9291585,-1679.51151425866,890.026428810333,2287.29967967772,-3.18736820390147,79831.5688561877,0
23,1658,417095,21961089.5492302,2213977.20467091,15058295.071512,-1679.72377947798,890.236909807832,2286.98501754364,-3.18796331421686,79831.5679018789,0
23,1658,417096,21959409.7193411,2214867.54682904,15060581.8991791,-1679.93598873927,890.447407800695,2286.67030699686,-3.18855835791561,79831.5669475701,0
23,1658,417097,21957729.6772706,2215758.09949369,15062868.4121114,-1680.1481420368,890.657922777387,2286.35554804362,-3.18915333498515,79831.5659932613,0
23,1658,417098,21956049.4230748,2216648.86268188,15065154.6102607,-1680.36023936483,890.868454726365,2286.04074069021,-3.18974824541292,79831.5650389525,0
23,1658,417099,21954368.9568097,2217539.83641042,15067440.4935784,-1680.57228071759,891.079003636111,2285.7258849429,-3.19034308918634,79831.5640846437,0
23,1658,417100,21952688.2785312,2218431.02069635,15069726.0620161,-1680.78426608937,891.289569495085,2285.41098080796,-3.19093786629286,79831.563130335,0
23,1658,417101,21951007.3882954,2219322.4155566,15072011.3155255,-1680.99619547441,891.50015229175,2285.09602829166,-3.19153257671991,79831.5621760262,0
23,1658,417102,21949326.2861581,2220214.0210082,15074296.2540582,-1681.20806886699,891.710752014562,2284.78102740027,-3.19212722045493,79831.5612217174,0
23,1658,417103,21947644.9721755,2221105.83706789,15076580.8775658,-1681.41988626138,891.921368651996,2284.46597814007,-3.19272179748537,79831.5602674086,0
23,1658,417104,21945963.4464034,2221997.86375267,15078865.186,-1681.63164765184,892.132002192508,2284.15088051734,-3.19331630779865,79831.5593130998,0
23,1658,417105,21944281.708898,2222890.10107954,15081149.1793124,-1681.84335303265,892.342652624551,2283.83573453834,-3.19391075138223,79831.5583587911,0
23,1658,417106,21942599.7597152,2223782.54906516,15083432.8574546,-1682.05500239808,892.553319936594,2283.52054020937,-3.19450512822354,79831.5574044823,0
23,1658,417107,21940917.5989111,2224675.20772654,15085716.2203783,-1682.26659574241,892.76400411709,2283.2052975367,-3.19509943831004,79831.5564501735,0
23,1658,417108,21939235.2265416,2225568.07708057,15087999.2680352,-1682.47813305992,892.974705154496,2282.8900065266,-3.19569368162917,79831.5554958647,0
23,1658,417109,21937552.6426628,2226461.15714408,15090282.0003769,-1682.6896143449,893.185423037259,2282.57466718536,-3.19628785816838,79831.5545415559,0
23,1658,417110,21935869.8473308,2227354.44793386,15092564.4173551,-1682.90103959163,893.396157753846,2282.25927951926,-3.19688196791511,79831.5535872471,0
23,1658,417111,21934186.8406015,2228247.94946673,15094846.5189215,-1683.11240879439,893.606909292703,2281.94384353459,-3.19747601085682,79831.5526329384,0
23,1658,417112,21932503.622531,2229141.66175965,15097128.3050277,-1683.32372194749,893.817677642279,2281.62835923762,-3.19806998698096,79831.5516786296,0
23,1658,417113,21930820.1931754,2230035.58482925,15099409.7756255,-1683.53497904521,894.028462791032,2281.31282663463,-3.19866389627498,79831.5507243208,0
23,1658,417114,21929136.5525908,2230929.71869239,15101690.9306665,-1683.74618008184,894.239264727407,2280.99724573193,-3.19925773872634,79831.549770012,0
23,1658,417115,21927452.7008331,2231824.06336582,15103971.7701025,-1683.95732505168,894.450083439853,2280.68161653579,-3.19985151432249,79831.5488157032,0
23,1658,417116,21925768.6379585,2232718.61886646,15106252.2938851,-1684.16841394905,894.660918916812,2280.36593905251,-3.20044522305089,79831.5478613944,0
23,1658,417117,21924084.3640231,2233613.38521087,15108532.5019662,-1684.37944676822,894.87177114674,2280.05021328836,-3.20103886489899,79831.5469070857,0
23,1658,417118,21922399.8790829,2234508.36241589,15110812.3942973,-1684.59042350352,895.082640118077,2279.73443924964,-3.20163243985427,79831.5459527769,0
23,1658,417119,21920715.183194,2235403.5504983,15113091.9708302,-1684.80134414926,895.293525819262,2279.41861694265,-3.20222594790417,79831.5449984681,0
23,1658,417120,21919030.2764124,2236298.9494747,15115371.2315167,-1685.01220869972,895.504428238745,2279.10274637366,-3.20281938903616,79831.5440441593,0
23,1658,417121,21917345.1587944,2237194.55936187,15117650.1763085,-1685.22301714925,895.715347364967,2278.78682754898,-3.2034127632377,79831.5430898505,0
23,1658,417122,21915659.830396,2238090.38017653,15119928.8051573,-1685.43376949213,895.926283186364,2278.4708604749,-3.20400607049627,79831.5421355417,0
23,1658,417123,21913974.2912733,2238986.41193542,15122207.118015,-1685.64446572271,896.137235691372,2278.15484515772,-3.20459931079932,79831.541181233,0
23,1658,417124,21912288.5414824,2239882.65465509,15124485.1148332,-1685.85510583529,896.348204868441,2277.83878160372,-3.20519248413432,79831.5402269242,0
23,1658,417125,21910602.5810795,2240779.10835227,15126762.7955638,-1686.0656898242,896.559190705999,2277.5226698192,-3.20578559048875,79831.5392726154,0
23,1658,417126,21908916.4101207,2241675.77304367,15129040.1601584,-1686.27621768377,896.770193192478,2277.20650981048,-3.20637862985007,79831.5383183066,0
23,1658,417127,21907230.028662,2242572.6487458,15131317.2085689,-1686.48668940831,896.981212316325,2276.89030158384,-3.20697160220575,79831.5373639978,0
23,1658,417128,21905543.4367597,2243469.73547538,15133593.9407471,-1686.69710499216,897.192248065968,2276.57404514557,-3.20756450754327,79831.5364096891,0
23,1658,417129,21903856.6344699,2244367.03324908,15135870.3566448,-1686.90746442966,897.403300429831,2276.257740502,-3.20815734585009,79831.5354553803,0
23,1658,417130,21902169.6218487,2245264.5420834,15138146.4562137,-1687.11776771513,897.614369396358,2275.9413876594,-3.20875011711371,79831.5345010715,0
23,1658,417131,21900482.3989524,2246162.26199496,15140422.2394057,-1687.32801484292,897.825454953974,2275.6249866241,-3.20934282132159,79831.5335467627,0
23,1658,417132,21898794.9658369,2247060.19300037,15142697.7061725,-1687.53820580736,898.036557091109,2275.30853740238,-3.20993545846121,79831.5325924539,0
23,1658,417133,21897107.3225586,2247958.33511626,15144972.8564661,-1687.74834060281,898.247675796182,2274.99204000057,-3.21052802852005,79831.5316381451,0
23,1658,417134,21895419.4691736,2248856.68835908,15147247.6902381,-1687.95841922359,898.458811057634,2274.67549442495,-3.2111205314856,79831.5306838363,0
23,1658,417135,21893731.4057381,2249755.25274544,15149522.2074405,-1688.16844166406,898.669962863884,2274.35890068185,-3.21171296734533,79831.5297295276,0
23,1658,417136,21892043.1323082,2250654.02829194,15151796.408025,-1688.37840791858,898.881131203349,2274.04225877756,-3.21230533608672,79831.5287752188,0
23,1658,417137,21890354.6489401,2251553.01501498,15154070.2919436,-1688.58831798148,899.092316064468,2273.7255687184,-3.21289763769727,79831.52782091,0
23,1658,417138,21888665.9556901,2252452.21293112,15156343.8591481,-1688.79817184713,899.303517435652,2273.40883051067,-3.21348987216446,79831.5268666012,0
23,1658,417139,21886977.0526143,2253351.62205695,15158617.1095902,-1689.00796950989,899.514735305321,2273.09204416069,-3.21408203947578,79831.5259122924,0
23,1658,417140,21885287.939769,2254251.24240884,15160890.043222,-1689.21771096411,899.725969661905,2272.77520967477,-3.2146741396187,79831.5249579837,0
23,1658,417141,21883598.6172103,2255151.0740033,15163162.6599951,-1689.42739620415,899.937220493816,2272.45832705922,-3.21526617258074,79831.5240036749,0
23,1658,417142,21881909.0849945,2256051.11685683,15165434.9598616,-1689.63702522438,900.148487789472,2272.14139632036,-3.21585813834937,79831.5230493661,0
23,1658,417143,21880219.3431777,2256951.37098597,15167706.9427734,-1689.84659801918,900.359771537285,2271.82441746449,-3.2164500369121,79831.5220950573,0
23,1658,417144,21878529.3918163,2257851.83640701,15169978.6086822,-1690.0561145829,900.571071725682,2271.50739049794,-3.2170418682564,79831.5211407485,0
23,1658,417145,21876839.2309665,2258752.51313644,15172249.9575399,-1690.26557490991,900.782388343071,2271.19031542703,-3.21763363236979,79831.5201864397,0
23,1658,417146,21875148.8606844,2259653.40119079,15174520.9892986,-1690.47497899461,900.993721377859,2270.87319225806,-3.21822532923975,79831.519232131,0
23,1658,417147,21873458.2810264,2260554.50058629,15176791.7039101,-1690.68432683135,901.20507081847,2270.55602099736,-3.21881695885379,79831.5182778222,0
23,1658,417148,21871767.4920486,2261455.81133944,15179062.1013262,-1690.89361841453,901.41643665331,2270.23880165126,-3.2194085211994,79831.5173235134,0
23,1658,417149,21870076.4938074,2262357.33346659,15181332.181499,-1691.10285373852,901.627818870787,2269.92153422606,-3.22000001626408,79831.5163692046,0
23,1658,417150,21868385.2863591,2263259.06698422,15183601.9443802,-1691.3120327977,901.839217459306,2269.6042187281,-3.22059144403535,79831.5154148958,0
23,1658,417151,21866693.8697597,2264161.01190857,15185871.389922,-1691.52115558647,902.050632407284,2269.28685516368,-3.22118280450069,79831.514460587,0
23,1658,417152,21865002.2440658,2265063.16825603,15188140.5180762,-1691.73022209922,902.262063703125,2268.96944353915,-3.22177409764762,79831.5135062783,0
23,1658,417153,21863310.4093335,2265965.53604304,15190409.3287947,-1691.93923233033,902.473511335224,2268.65198386082,-3.22236532346364,79831.5125519695,0
23,1658,417154,21861618.365619,2266868.11528578,15192677.8220295,-1692.1481862742,902.684975292,2268.33447613502,-3.22295648193625,79831.5115976607,0
23,1658,417155,21859926.1129788,2267770.90600059,15194945.9977325,-1692.35708392522,902.896455561853,2268.01692036808,-3.22354757305298,79831.5106433519,0
23,1658,417156,21858233.6514691,2268673.90820384,15197213.8558558,-1692.56592527781,903.107952133177,2267.69931656632,-3.22413859680132,79831.5096890431,0
23,1658,417157,21856540.9811462,2269577.1219119,15199481.3963513,-1692.77471032635,903.319464994375,2267.38166473608,-3.22472955316879,79831.5087347344,0
23,1658,417158,21854848.1020664,2270480.54714089,15201748.6191709,-1692.98343906526,903.530994133856,2267.06396488367,-3.22532044214291,79831.5077804256,0
23,1658,417159,21853155.0142859,2271384.18390715,15204015.5242667,-1693.19211148894,903.74253954001,2266.74621701544,-3.22591126371118,79831.5068261168,0
23,1658,417160,21851461.7178613,2272288.032227,15206282.1115906,-1693.4007275918,903.954101201234,2266.42842113772,-3.22650201786112,79831.505871808,0
23,1658,417161,21849768.2128487,2273192.09211655,15208548.3810945,-1693.60928736825,904.165679105931,2266.11057725684,-3.22709270458025,79831.5049174992,0
23,1658,417162,21848074.4993045,2274096.36359215,15210814.3327307,-1693.8177908127,904.37727324249,2265.79268537912,-3.22768332385608,79831.5039631904,0
23,1658,417163,21846380.577285,2275000.84666998,15213079.9664509,-1694.02623791958,904.588883599312,2265.47474551092,-3.22827387567614,79831.5030088817,0
23,1658,417164,21844686.4468466,2275905.54136636,15215345.2822073,-1694.2346286833,904.800510164778,2265.15675765855,-3.22886436002795,79831.5020545729,0
23,1658,417165,21842992.1080455,2276810.44769733,15217610.2799519,-1694.44296309828,905.012152927294,2264.83872182837,-3.22945477689903,79831.5011002641,0
23,1658,417166,21841297.5609383,2277715.56567913,15219874.9596366,-1694.65124115895,905.223811875245,2264.52063802671,-3.23004512627689,79831.5001459553,0
23,1658,417167,21839602.8055811,2278620.89532808,15222139.3212135,-1694.85946285975,905.435486997016,2264.2025062599,-3.23063540814908,79831.4991916465,0
23,1658,417168,21837907.8420305,2279526.43666013,15224403.3646347,-1695.06762819508,905.647178281004,2263.88432653429,-3.23122562250311,79831.4982373377,0
23,1658,417169,21836212.6703427,2280432.18969156,15226667.0898522,-1695.27573715939,905.858885715594,2263.56609885621,-3.23181576932651,79831.497283029,0
23,1658,417170,21834517.2905741,2281338.15443856,15228930.4968181,-1695.48378974711,906.070609289165,2263.24782323201,-3.23240584860681,79831.4963287202,0
23,1658,417171,21832821.7027811,2282244.33091713,15231193.5854843,-1695.69178595268,906.282348990114,2262.92949966804,-3.23299586033153,79831.4953744114,0
23,1658,417172,21831125.9070201,2283150.71914345,15233456.355803,-1695.89972577053,906.494104806821,2262.61112817063,-3.23358580448822,79831.4944201026,0
23,1658,417173,21829429.9033475,2284057.31913362,15235718.8077263,-1696.10760919512,906.705876727667,2262.29270874614,-3.2341756810644,79831.4934657938,0
23,1658,417174,21827733.6918197,2284964.13090388,15237980.9412061,-1696.31543622088,906.91766474103,2261.9742414009,-3.23476549004761,79831.492511485,0
