PRN,GPS_WEEK,TOC,SAT_POS_X_M,SAT_POS_Y_M,SAT_POS_Z_M,SAT_VEL_X_MPS,SAT_VEL_Y_MPS,SAT_VEL_Z_MPS,REL_CLK_CORR,SAT_CLK_CORR,HEALTH
9,1658,417088,-21435093.0259442,-15653585.9285825,-236037.252661768,93.0703674635475,-191.638873595621,-3228.64492809037,11.7852415980955,33884.1238918154,0
9,1658,417089,-21434999.7980827,-15653777.4490327,-239265.895061974,93.3853611453593,-191.402033786534,-3228.63986068651,11.7853056396378,33884.1246416295,0
9,1658,417090,-21434906.2552126,-15653968.7326657,-242494.53236038,93.7003844332385,-191.165239367977,-3228.63472448649,11.7853694299671,33884.1253914435,0
9,1658,417091,-21434812.3973045,-15654159.7795271,-245723.164488179,94.015437315575,-190.928490348105,-3228.62951949146,11.785432969084,33884.1261412576,0
9,1658,417092,-21434718.2243287,-15654350.5896621,-248951.791376571,94.3305197807543,-190.691786735066,-3228.62424570256,11.785496256989,33884.1268910716,0
9,1658,417093,-21434623.7362557,-15654541.1631162,-252180.412956811,94.6456318171681,-190.455128537005,-3228.61890312094,11.7855592936828,33884.1276408857,0
9,1658,417094,-21434528.9330558,-15654731.4999349,-255409.029160042,94.9607734131957,-190.218515762073,-3228.61349174775,11.7856220791657,33884.1283906997,0
9,1658,417095,-21434433.8146995,-15654921.6001635,-258637.639917529,95.2759445572246,-189.981948418407,-3228.60801158414,11.7856846134385,33884.1291405137,0
9,1658,417096,-21434338.3811574,-15655111.4638474,-261866.245160449,95.5911452376331,-189.745426514149,-3228.60246263127,11.7857468965016,33884.1298903278,0
9,1658,417097,-21434242.6323998,-15655301.0910322,-265094.844820017,95.9063754428034,-189.508950057436,-3228.59684489028,11.7858089283556,33884.1306401418,0
9,1658,417098,-21434146.5683972,-15655490.4817632,-268323.438827461,96.2216351611154,-189.272519056402,-3228.59115836233,11.785870709001,33884.1313899559,0
9,1658,417099,-21434050.1891202,-15655679.6360859,-271552.027113969,96.5369243809441,-189.036133519179,-3228.58540304858,11.7859322384385,33884.1321397699,0
9,1658,417100,-21433953.4945392,-15655868.5540459,-274780.60961078,96.8522430906684,-188.799793453897,-3228.57957895019,11.7859935166687,33884.132889584,0
9,1658,417101,-21433856.4846248,-15656057.2356885,-278009.186249112,97.1675912786633,-188.563498868681,-3228.57368606832,11.786054543692,33884.133639398,0
9,1658,417102,-21433759.1593474,-15656245.6810593,-281237.756960149,97.4829689332986,-188.327249771658,-3228.56772440413,11.7861153195091,33884.134389212,0
9,1658,417103,-21433661.5186776,-15656433.8902038,-284466.321675139,97.7983760429503,-188.091046170948,-3228.56169395878,11.7861758441206,33884.1351390261,0
